Date,Open,High,Low,Close,Adj Close,Volume
2019-04-12,41425.30078125,41898.3984375,41123.80078125,41425.30078125,38536.13671875,4198
2019-04-15,41105.5,41562.30078125,41015.1015625,41105.5,38238.640625,9268
2019-04-16,41379.6015625,41393.30078125,41106.5,41379.6015625,38493.62890625,7681
2019-04-17,41720.30078125,41836.30078125,41288.19921875,41720.30078125,38810.56640625,4909
2019-04-18,41644.5,41735.80078125,41197.80078125,41644.5,38740.046875,21021
2019-04-22,41365.0,41653.6015625,41197.80078125,41262.69921875,38384.875,634
2019-04-23,41196.8984375,41562.30078125,40831.5,41196.8984375,38323.6640625,1971
2019-04-24,41635.30078125,41635.30078125,40785.80078125,41635.30078125,38731.4921875,16952
2019-04-25,41217.0,41635.30078125,41123.80078125,41217.0,38342.3671875,10152
2019-04-26,41515.69921875,41515.69921875,40685.3984375,41515.69921875,38620.23046875,7693
2019-04-29,41188.69921875,41425.30078125,40932.8984375,41188.69921875,38316.0390625,2383
2019-04-30,41193.19921875,41460.0,40923.80078125,41193.19921875,38320.22265625,6754
2019-05-02,40668.0,41196.8984375,40649.69921875,40668.0,37831.65625,5010
2019-05-03,40923.80078125,41131.1015625,40677.1015625,40923.80078125,38069.61328125,6013
2019-05-06,40830.6015625,40941.1015625,40338.19921875,40830.6015625,37982.9140625,2153
2019-05-07,40520.8984375,40828.80078125,40195.69921875,40520.8984375,37694.8125,6038
2019-05-08,41213.30078125,41736.69921875,40283.3984375,41213.30078125,38338.921875,6964
2019-05-09,40333.69921875,41333.8984375,40301.69921875,40333.69921875,37520.66796875,1819
2019-05-10,40786.69921875,41196.8984375,40201.19921875,40786.69921875,37942.07421875,7618
2019-05-13,40284.30078125,40922.8984375,40193.8984375,40284.30078125,37474.71875,6658
2019-05-14,40648.80078125,40831.5,40284.30078125,40648.80078125,37813.79296875,12684
2019-05-15,40530.1015625,40776.69921875,40298.0,40530.1015625,37703.37109375,13405
2019-05-16,40548.30078125,40831.5,40466.1015625,40548.30078125,37720.3046875,13326
2019-05-17,40420.3984375,40831.5,40192.1015625,40420.3984375,37601.3203125,11042
2019-05-20,40193.0,40731.0,40103.5,40193.0,37389.78515625,4330
2019-05-22,40351.8984375,40721.0,40192.1015625,40351.8984375,37537.6015625,7884
2019-05-23,40220.3984375,40694.5,40211.30078125,40220.3984375,37415.26953125,1393
2019-05-24,40260.6015625,40603.1015625,40231.3984375,40260.6015625,37452.66796875,6943
2019-05-27,40329.1015625,40419.5,39919.0,40329.1015625,37516.39453125,1653
2019-05-28,38365.19921875,40831.5,38365.19921875,38365.19921875,35689.4609375,187266
2019-05-29,40374.80078125,40648.80078125,38822.80078125,40374.80078125,37558.90234375,12930
2019-05-30,40696.30078125,41333.0,40374.80078125,40696.30078125,37857.984375,11952
2019-05-31,41562.30078125,43206.5,40420.3984375,41562.30078125,38663.58203125,21747
2019-06-03,42019.0,42019.0,40652.5,42019.0,39088.4296875,7617
2019-06-04,41471.80078125,42464.80078125,41289.1015625,41471.80078125,38579.39453125,3687
2019-06-05,41836.30078125,41999.80078125,41151.19921875,41836.30078125,38918.47265625,2064
2019-06-06,42019.0,42019.0,41105.5,42019.0,39088.4296875,4859
2019-06-07,41389.6015625,42041.80078125,41389.6015625,41389.6015625,38502.92578125,1231
2019-06-10,42374.30078125,42840.19921875,41682.80078125,42374.30078125,39418.94921875,5874
2019-06-11,42475.69921875,43845.8984375,42058.30078125,42475.69921875,39513.27734375,1094
2019-06-12,42631.0,42930.6015625,42065.6015625,42631.0,39657.74609375,10003
2019-06-13,42210.80078125,43115.1015625,41641.69921875,42210.80078125,39266.85546875,24850
